VehicleID,Lane,Frame,Timestamp
2,1,2,0:00:00.066667
3,1,2,0:00:00.066667
4,1,2,0:00:00.066667
5,2,2,0:00:00.066667
8,1,13,0:00:00.433333
9,2,15,0:00:00.500000
16,3,39,0:00:01.300000
14,1,43,0:00:01.433333
31,1,60,0:00:02
36,2,74,0:00:02.466667
45,2,98,0:00:03.266667
44,1,98,0:00:03.266667
53,2,125,0:00:04.166667
55,2,135,0:00:04.500000
62,1,141,0:00:04.700000
63,1,143,0:00:04.766667
66,1,164,0:00:05.466667
61,2,164,0:00:05.466667
69,1,184,0:00:06.133333
68,1,189,0:00:06.300000
85,1,215,0:00:07.166667
89,2,227,0:00:07.566667
98,1,245,0:00:08.166667
102,1,257,0:00:08.566667
111,1,261,0:00:08.700000
113,2,269,0:00:08.966667
120,1,275,0:00:09.166667
116,1,275,0:00:09.166667
119,2,281,0:00:09.366667
123,1,283,0:00:09.433333
125,1,291,0:00:09.700000
127,2,307,0:00:10.233333
140,2,342,0:00:11.400000
128,1,344,0:00:11.466667
139,1,345,0:00:11.500000
141,1,347,0:00:11.566667
146,2,371,0:00:12.366667
150,1,379,0:00:12.633333
153,1,393,0:00:13.100000
154,1,415,0:00:13.833333
157,2,441,0:00:14.700000
160,1,464,0:00:15.466667
161,1,474,0:00:15.800000
168,1,496,0:00:16.533333
166,2,512,0:00:17.066667
181,1,540,0:00:18
185,1,547,0:00:18.233333
187,2,564,0:00:18.800000
189,1,571,0:00:19.033333
203,1,636,0:00:21.200000
200,1,642,0:00:21.400000
213,1,668,0:00:22.266667
218,1,673,0:00:22.433333
207,2,678,0:00:22.600000
209,1,689,0:00:22.966667
226,2,724,0:00:24.133333
233,1,742,0:00:24.733333
228,1,748,0:00:24.933333
240,1,757,0:00:25.233333
229,2,768,0:00:25.600000
247,1,781,0:00:26.033333
249,1,785,0:00:26.166667
250,1,786,0:00:26.200000
251,1,789,0:00:26.300000
245,2,819,0:00:27.300000
246,1,821,0:00:27.366667
268,3,843,0:00:28.100000
272,2,851,0:00:28.366667
284,1,883,0:00:29.433333
285,2,885,0:00:29.500000
283,1,889,0:00:29.633333
265,1,900,0:00:30
288,2,909,0:00:30.300000
277,2,911,0:00:30.366667
289,1,924,0:00:30.800000
296,2,935,0:00:31.166667
300,1,959,0:00:31.966667
304,3,979,0:00:32.633333
316,1,1035,0:00:34.500000
322,1,1039,0:00:34.633333
324,3,1040,0:00:34.666667
336,1,1085,0:00:36.166667
344,1,1111,0:00:37.033333
346,1,1122,0:00:37.400000
348,1,1123,0:00:37.433333
345,2,1124,0:00:37.466667
351,1,1135,0:00:37.833333
359,1,1163,0:00:38.766667
364,1,1187,0:00:39.566667
368,3,1194,0:00:39.800000
365,1,1194,0:00:39.800000
376,1,1230,0:00:41
370,2,1244,0:00:41.466667
392,1,1284,0:00:42.800000
393,1,1285,0:00:42.833333
395,2,1320,0:00:44
396,2,1322,0:00:44.066667
397,1,1332,0:00:44.400000
400,3,1344,0:00:44.800000
401,1,1346,0:00:44.866667
402,2,1347,0:00:44.900000
409,1,1385,0:00:46.166667
412,1,1394,0:00:46.466667
417,1,1413,0:00:47.100000
419,2,1413,0:00:47.100000
420,1,1418,0:00:47.266667
421,1,1434,0:00:47.800000
424,3,1443,0:00:48.100000
425,3,1447,0:00:48.233333
429,1,1469,0:00:48.966667
433,2,1487,0:00:49.566667
435,2,1499,0:00:49.966667
434,1,1505,0:00:50.166667
440,1,1511,0:00:50.366667
433,1,1512,0:00:50.400000
445,3,1522,0:00:50.733333
452,1,1528,0:00:50.933333
459,3,1563,0:00:52.100000
462,3,1566,0:00:52.200000
467,1,1577,0:00:52.566667
458,2,1585,0:00:52.833333
469,1,1589,0:00:52.966667
472,1,1601,0:00:53.366667
474,1,1614,0:00:53.800000
476,2,1625,0:00:54.166667
485,1,1655,0:00:55.166667
492,1,1664,0:00:55.466667
498,2,1674,0:00:55.800000
501,2,1678,0:00:55.933333
508,2,1715,0:00:57.166667
505,2,1722,0:00:57.400000
514,2,1736,0:00:57.866667
518,2,1742,0:00:58.066667
526,2,1768,0:00:58.933333
529,1,1797,0:00:59.900000
539,2,1810,0:01:00.333333
543,2,1822,0:01:00.733333
544,2,1823,0:01:00.766667
546,2,1829,0:01:00.966667
550,1,1834,0:01:01.133333
